model,seed,training_seconds,fixed_inference_seconds,peak_cpu_memory_gb,peak_gpu_memory_gb,validation_selected_threshold,test_accuracy,test_precision,test_recall,test_f1,test_auprc,test_roc_auc,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives,best_epoch,test_inference_seconds,test_inference_seconds_per_100000_transactions,peak_gpu_memory_gb_during_test,configuration_json
Random Forest,42,67.9963412919999,0.7567388090001259,2.653942108154297,0.0,0.7446811976679287,0.998353614466136,0.5732708089097304,0.2721202003338898,0.3690566037735849,0.3890972231011656,0.979752905190977,1013397,364,1308,489,,,,,
Random Forest,52,67.44546100299976,0.6386066590002883,2.7091026306152344,0.0,0.7332478745764712,0.9983289974575552,0.5538793103448276,0.2860322760155815,0.3772477064220183,0.3838479842609409,0.978956793703197,1013347,414,1283,514,,,,,
Random Forest,62,67.37016112099991,0.6341495090000535,2.7149200439453125,0.0,0.71247242949194,0.998256131112157,0.5122180451127819,0.3032832498608792,0.3809856693463824,0.3900370139095196,0.9797823571644731,1013242,519,1252,545,,,,,
Random Forest,72,67.09175821300005,0.6340525499999785,2.77408218383789,0.0,0.7102815041162533,0.998273855358335,0.5206766917293233,0.3082915971062883,0.3872771758126529,0.3877345398388314,0.9795331153066646,1013251,510,1243,554,,,,,
Random Forest,82,67.0000422029998,0.6450056369999402,2.7592430114746094,0.0,0.7486713955762891,0.998331951498585,0.5594002306805075,0.2698942682248191,0.3641141141141141,0.3858779915284745,0.9794431606298448,1013379,382,1312,485,,,,,
XGBoost,42,1.2866427750000184,0.0438720110000758,3.1007614135742188,0.28515625,0.9908966422080994,0.9986234168801782,0.8093023255813954,0.2904841402337229,0.4275184275184275,0.4492168599702555,0.9799228544985225,1013638,123,1275,522,,,,,
XGBoost,52,1.4165281479999976,0.0450511209996875,3.1123008728027344,0.28515625,0.9918590188026428,0.9986096313553732,0.8324697754749568,0.2682248191430161,0.4057239057239057,0.4346605817332474,0.9779572268176774,1013664,97,1315,482,,,,,
XGBoost,62,1.446576671999992,0.0455087350001122,3.1248321533203125,0.27734375,0.9908726811408995,0.9985771369040468,0.7802547770700637,0.2726766833611574,0.4041237113402062,0.4316384047222721,0.979257363735938,1013623,138,1307,490,,,,,
XGBoost,72,1.4421132520001263,0.0456631789998027,3.11685562133789,0.28515625,0.9891290664672852,0.9985850143467926,0.7506963788300836,0.2999443516972732,0.4286282306163022,0.4435973690988445,0.9806050796426106,1013582,179,1258,539,,,,,
XGBoost,82,1.4376943150000443,0.0446103429999311,3.118759155273437,0.28515625,0.988895297050476,0.9985672901006146,0.7261904761904762,0.3055091819699499,0.4300822561692127,0.4416587320523093,0.978556785143634,1013554,207,1248,549,,,,,
Linear SVM,42,1.2832067230001485,0.0233980349999001,3.0816688537597656,0.0,1.2497157157043888,0.998001098903263,0.4058205335489086,0.2793544796883695,0.3309162821357943,0.2772465285901454,0.9571303197643252,1013026,735,1295,502,,,,,
Linear SVM,52,1.4254038760000185,0.0221937900000739,3.0930709838867188,0.0,1.2427907810542962,0.9979686044519368,0.3946117274167987,0.2771285475792988,0.3255966001961425,0.273845402646755,0.95679644564734,1012997,764,1299,498,,,,,
Linear SVM,62,1.5725329120000424,0.0228095510001367,3.09206771850586,0.0,1.2437112294868993,0.9979617116895342,0.3936087295401403,0.2810239287701725,0.3279220779220779,0.2753645342053445,0.9566570033552372,1012983,778,1292,505,,,,,
Linear SVM,72,1.9339381019999564,0.0220001229999979,3.0849609375,0.0,1.255256274063228,0.9980335933545892,0.4162479061976549,0.2765720645520311,0.3323303243062521,0.2787517068629808,0.957050219464726,1013064,697,1300,497,,,,,
Linear SVM,82,1.7003985839996858,0.0229337390001092,3.088932037353516,0.0,1.2686698696378789,0.9980267005921868,0.4139650872817955,0.2771285475792988,0.332,0.277753844653288,0.9570011429974228,1013056,705,1299,498,,,,,
