model,seed,best_epoch,validation_selected_threshold,test_accuracy,test_precision,test_recall,test_f1,test_auprc,test_roc_auc,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives,test_inference_seconds,test_inference_seconds_per_100000_transactions,peak_gpu_memory_gb_during_test,configuration_json
GCN,42,30,0.5178861618041992,0.7663284617914486,0.00582493306362942,0.7723984418475236,0.011562667910680889,0.007020034655376023,0.8284182521802177,776863,236898,409,1388,0.2127745689999756,0.020951493563142194,2.0824742317199707,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GCN,52,38,0.7245532870292664,0.9711183408530089,0.009652372132782448,0.15080690038953812,0.018143474040103105,0.0070468532586275695,0.8091664008902375,985956,27805,1526,271,0.2104437660000258,0.020721983973345272,2.082528591156006,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GCN,62,21,0.5436201095581055,0.8563853566216799,0.007514529914529914,0.6115748469671675,0.014846636541098435,0.006942151655740474,0.8317894553769013,868610,145151,698,1099,0.21144267599993327,0.020820344677500772,2.082638740539551,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GCN,72,25,0.5182303786277771,0.7992965443628035,0.007003450480480627,0.798553144129104,0.013885125982118668,0.006522894780785916,0.8541301823953387,810297,203464,362,1435,0.21362148099979095,0.02103488732300774,2.082550048828125,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GCN,82,40,0.7630952000617981,0.984942268191477,0.013272740388083388,0.10239287701725097,0.023499361430395913,0.008464093018229727,0.8360286515183316,1000082,13679,1613,184,0.21478157100000317,0.021149119104965267,2.0825071334838867,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GraphSAGE,42,8,0.5943670868873596,0.9973728728442885,0.13858921161825727,0.09293266555370061,0.11125916055962691,0.05919710818495528,0.8962017239476524,1012723,1038,1630,167,0.22098824200020317,0.021760277798038435,1.863945484161377,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GraphSAGE,52,12,0.5727665424346924,0.97940541062155,0.03188050930460333,0.3622704507512521,0.058603771886393305,0.023037864053415,0.8908550740988375,993992,19769,1146,651,0.2190762730001552,0.021572009968919077,1.863945484161377,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GraphSAGE,62,27,0.647096574306488,0.9783655881791095,0.027363883422359667,0.3249860879243183,0.05047754872725701,0.01675098809571782,0.8738574107746704,993003,20758,1213,584,0.2212811489998785,0.021789119774535626,1.863945484161377,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GraphSAGE,72,13,0.566578209400177,0.9934420289141536,0.04930491195551436,0.14802448525319978,0.07397107897664071,0.02730946213892226,0.9020589399929779,1008632,5129,1531,266,0.21877996499961228,0.02154283310255173,1.863945484161377,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GraphSAGE,82,6,0.5441402196884155,0.9613060012328198,0.026132888518209618,0.575403450194769,0.0499951648776714,0.05847032392112393,0.847779334345239,975228,38533,763,1034,0.21808922199988956,0.021474816997147338,1.863945484161377,"{""dropout"": 0.3, ""graph_direction"": ""directed"", ""hidden_dim"": 64, ""num_layers"": 2}"
GAT,42,16,0.575942873954773,0.9781460044625713,0.03177080942105505,0.3850862548692265,0.05869878700483502,0.029560702749297382,0.8170943102165864,992672,21089,1105,692,0.2205718270001853,0.021719274231524473,2.039580821990967,"{""dropout"": 0.2, ""graph_direction"": ""directed"", ""hidden_dim"": 32, ""num_layers"": 2}"
GAT,52,25,0.634560227394104,0.9700273150327209,0.02601443039650493,0.4373956594323873,0.04910811908406485,0.024675441778810973,0.8869993126972607,984333,29428,1011,786,0.2207890640002006,0.021740665131897992,2.03963565826416,"{""dropout"": 0.2, ""graph_direction"": ""directed"", ""hidden_dim"": 32, ""num_layers"": 2}"
GAT,62,20,0.5686032176017761,0.980255189757749,0.03936411809235428,0.4340567612687813,0.07218212104386452,0.03855197226435281,0.8774316222662504,994726,19035,1017,780,0.22106435300020166,0.02176777229859857,2.0397462844848633,"{""dropout"": 0.2, ""graph_direction"": ""directed"", ""hidden_dim"": 32, ""num_layers"": 2}"
GAT,72,13,0.5704254508018494,0.9814348368089267,0.03178698874553939,0.32220367278797996,0.0578652808315011,0.06665118989057357,0.8889371670301409,996125,17636,1218,579,0.22132327500003157,0.021793267838964545,2.0396571159362793,"{""dropout"": 0.2, ""graph_direction"": ""directed"", ""hidden_dim"": 32, ""num_layers"": 2}"
GAT,82,32,0.6710099577903748,0.9828606539459095,0.03925851585099475,0.37006121313299944,0.0709863364645602,0.03399195356309218,0.9100044510089864,997487,16274,1132,665,0.22227393599996503,0.0218868775589346,2.039613723754883,"{""dropout"": 0.2, ""graph_direction"": ""directed"", ""hidden_dim"": 32, ""num_layers"": 2}"
