model,seed,subset,transactions,positive_transactions,accuracy,precision,recall,f1,auprc,roc_auc,true_negatives,false_positives,false_negatives,true_positives
GCN,42,dense_period,1014450,1142,0.7662930652077481,0.003710465869603628,0.7723292469352014,0.007385450160771704,0.004213146495432495,0.828997145566486,776484,236824,260,882
GCN,42,timestamp_tail,1108,655,0.7987364620938628,0.8724137931034482,0.7725190839694657,0.8194331983805668,0.8700416147638497,0.8802487235225722,379,74,149,506
GCN,52,dense_period,1014450,1142,0.9716319187737198,0.005404824969575488,0.13222416812609458,0.010385144429160935,0.004274574358359881,0.8140886269414548,985521,27787,991,151
GCN,52,timestamp_tail,1108,655,0.5009025270758123,0.8695652173913043,0.183206106870229,0.3026481715006305,0.8405931930671905,0.832340798409248,435,18,535,120
GCN,62,dense_period,1014450,1142,0.8565725269850658,0.004544144094671957,0.5796847635726795,0.009017599302566338,0.0038384977159492723,0.8222239332137788,868288,145020,480,662
GCN,62,timestamp_tail,1108,655,0.6850180505415162,0.7693661971830986,0.667175572519084,0.7146361406377759,0.7502509745337191,0.7446842930084424,322,131,218,437
GCN,72,dense_period,1014450,1142,0.7992557543496476,0.004453732570488883,0.7968476357267951,0.008857956342929452,0.004250678205138435,0.8541266369190338,809895,203413,232,910
GCN,72,timestamp_tail,1108,655,0.8366425992779783,0.9114583333333334,0.8015267175572519,0.8529650690495532,0.9134951289908229,0.9306084963685692,402,51,130,525
GCN,82,dense_period,1014450,1142,0.9855005175218099,0.006762160983058242,0.08143607705779335,0.012487411883182276,0.0049420358409859,0.8399603877206341,999648,13660,1049,93
GCN,82,timestamp_tail,1108,655,0.47382671480144406,0.8272727272727273,0.13893129770992366,0.23790849673202613,0.835039833936448,0.8377432890147111,434,19,564,91
GraphSAGE,42,dense_period,1014450,1142,0.9980038444477303,0.06673209028459273,0.0595446584938704,0.06293382693197594,0.027017545333693088,0.8742912818833928,1012357,951,1074,68
GraphSAGE,42,timestamp_tail,1108,655,0.4196750902527076,0.532258064516129,0.15114503816793892,0.23543400713436385,0.5794911973515693,0.48370995736649647,366,87,556,99
GraphSAGE,52,dense_period,1014450,1142,0.9798452363349598,0.01984877126654064,0.34938704028021017,0.037563547354547165,0.014162010221513494,0.8682039920617337,993605,19703,743,399
GraphSAGE,52,timestamp_tail,1108,655,0.5767148014440433,0.7924528301886793,0.3847328244274809,0.5179856115107914,0.7998030640922543,0.8068584331766173,387,66,403,252
GraphSAGE,62,dense_period,1014450,1142,0.9787944206220119,0.01674890871133042,0.30910683012259194,0.03177603744711495,0.009757719719512496,0.8695542962935764,992585,20723,789,353
GraphSAGE,62,timestamp_tail,1108,655,0.5857400722021661,0.868421052631579,0.3526717557251908,0.501628664495114,0.8306710991487372,0.8290750383364507,418,35,424,231
GraphSAGE,72,dense_period,1014450,1142,0.9939937897382818,0.029462079452575556,0.13572679509632224,0.0484148055598938,0.016859872493456114,0.900825896534592,1008202,5106,987,155
GraphSAGE,72,timestamp_tail,1108,655,0.48826714801444043,0.8283582089552238,0.16946564885496182,0.2813688212927757,0.76259950496481,0.729514854321487,430,23,544,111
GraphSAGE,82,dense_period,1014450,1142,0.9615949529301592,0.015427194915688586,0.5271453590192644,0.02997709391494871,0.024325923507931762,0.8099656435898871,974888,38420,540,602
GraphSAGE,82,timestamp_tail,1108,655,0.6967509025270758,0.7926605504587156,0.6595419847328244,0.72,0.8073180511935121,0.776677956962068,340,113,223,432
GAT,42,dense_period,1014450,1142,0.9785006653851841,0.017913789886172794,0.3362521891418564,0.03401541323412171,0.016062811648200302,0.7825309463792451,992256,21052,758,384
GAT,42,timestamp_tail,1108,655,0.6534296028880866,0.8927536231884058,0.47022900763358777,0.616,0.8793253172793732,0.8979963938459465,416,37,347,308
GAT,52,dense_period,1014450,1142,0.9703681798018631,0.015741174894500637,0.4115586690017513,0.03032258064516129,0.013710320015036553,0.8815020326828571,983920,29388,672,470
GAT,52,timestamp_tail,1108,655,0.657942238267148,0.8876404494382022,0.48244274809160304,0.6251236399604352,0.877802130325513,0.8970426166523431,413,40,339,316
GAT,62,dense_period,1014450,1142,0.9806013110552516,0.02364187695944904,0.4028021015761821,0.04466236225059469,0.020007726506086128,0.8536469068930151,994311,18997,682,460
GAT,62,timestamp_tail,1108,655,0.6633574007220217,0.8938547486033519,0.48854961832061067,0.631786771964462,0.9044514771519097,0.924486460071112,415,38,335,320
GAT,72,dense_period,1014450,1142,0.9818295628172902,0.01773860657109388,0.27845884413309985,0.03335256174943626,0.024827982913785338,0.8808248338121533,995699,17609,824,318
GAT,72,timestamp_tail,1108,655,0.6200361010830325,0.90625,0.3984732824427481,0.5535524920466596,0.90272004133703,0.9204859882378713,426,27,394,261
GAT,82,dense_period,1014450,1142,0.9832539799891566,0.022480713596914177,0.3266199649737303,0.042066087741062366,0.015101374305260548,0.8905297024362656,997089,16219,769,373
GAT,82,timestamp_tail,1108,655,0.6227436823104693,0.8414985590778098,0.44580152671755724,0.5828343313373253,0.838472354026031,0.8473046526127765,398,55,363,292
