model,metric,seeds,mean,standard_deviation,ci95_lower,ci95_upper
Random Forest,accuracy,5,0.9983089099785536,4.16753668393516e-05,0.9982571631759373,0.9983606567811699
Random Forest,precision,5,0.5438890173554342,0.026199026277408773,0.5113586296387812,0.5764194050720871
Random Forest,recall,5,0.28792431830829157,0.017529657006564163,0.26615837430238043,0.3096902623142027
Random Forest,f1,5,0.3757362538937506,0.009256424645387862,0.3642428846594864,0.3872296231280148
Random Forest,auprc,5,0.3873189505277864,0.002492328531267689,0.3842243159188153,0.39041358513675756
Random Forest,roc_auc,5,0.9794936663990313,0.00033274857244917525,0.9790805044761675,0.9799068283218952
XGBoost,accuracy,5,0.9985924979174012,2.332882092722374e-05,0.9985635313603354,0.9986214644744671
XGBoost,precision,5,0.7797827466293951,0.042911827056676344,0.7265006758759738,0.8330648173828163
XGBoost,recall,5,0.2873678352810239,0.01642614983042918,0.26697207640747905,0.3077635941545687
XGBoost,f1,5,0.4192153062736108,0.013090165139785543,0.4029617194889971,0.4354688930582245
XGBoost,auprc,5,0.44015438951538577,0.007052472023509302,0.431397588905455,0.44891119012531655
XGBoost,roc_auc,5,0.9792598619676764,0.001053607052533498,0.9779516360222921,0.9805680879130608
Linear SVM,accuracy,5,0.9979983417983022,3.2713031333938275e-05,0.9979577232050227,0.9980389603915816
Linear SVM,precision,5,0.4048507967970596,0.010549021294414769,0.3917524568394999,0.4179491367546193
Linear SVM,recall,5,0.27824151363383415,0.0018871257604689464,0.27589833751697695,0.28058468975069134
Linear SVM,f1,5,0.32975305691205337,0.002901412150823734,0.32615047790042456,0.33335563592368217
Linear SVM,auprc,5,0.27659240339170277,0.001968063317831475,0.27414873002376594,0.2790360767596396
Linear SVM,roc_auc,5,0.9569270262458103,0.00019491137143383828,0.9566850118130603,0.9571690406785602
GCN,accuracy,5,0.8756141943640836,0.09900905636602787,0.7526782135782594,0.9985501751499078
GCN,precision,5,0.00865360519590116,0.0029306925133494445,0.005014669812269843,0.012292540579532477
GCN,recall,5,0.4871452420701168,0.3372628272286617,0.06837813156787059,0.9059123525723629
GCN,f1,5,0.0163874531808794,0.00462539615703828,0.010644265295254914,0.02213064106650389
GCN,auprc,5,0.007199205473751942,0.0007380255243825074,0.006282825750370727,0.008115585197133159
GCN,roc_auc,5,0.8319065884722054,0.016125894332777845,0.811883646040357,0.8519295309040539
GraphSAGE,accuracy,5,0.9819783803583843,0.01427782665899402,0.9642501170233174,0.9997066436934511
GraphSAGE,precision,5,0.05465428096378886,0.047829302298240305,-0.004733641759140796,0.11404220368671852
GraphSAGE,recall,5,0.30072342793544793,0.19125885296050354,0.06324419587664282,0.5382026599942531
GraphSAGE,f1,5,0.06886134500551787,0.025606633269169878,0.03706651035998282,0.10065617965105292
GraphSAGE,auprc,5,0.036953149278826855,0.02032575763304954,0.01171538778965384,0.062190910767999874
GraphSAGE,roc_auc,5,0.8821504966318754,0.021907218245303756,0.854949092435889,0.9093519008278618
GAT,accuracy,5,0.9785448000015755,0.005064852643742098,0.9722559548176338,0.9848336451855172
GAT,precision,5,0.03363897250128968,0.005687927542867679,0.026576477646919273,0.04070146735566009
GAT,recall,5,0.3897607122982749,0.04797161282957195,0.3301960877120255,0.4493253368845243
GAT,f1,5,0.06176812888576514,0.009725681394259247,0.049692100440513226,0.07384415733101705
GAT,auprc,5,0.038686252049225385,0.016459576788810305,0.01824898812488927,0.0591235159735615
GAT,roc_auc,5,0.876093372643845,0.03505903627426291,0.8325618294903728,0.9196249157973172
